Vtip(V),ring_radius(nm)
-1.300000000000000044e+00,5.220878832367745304e+00
-1.301199999999999912e+00,5.315055625715718435e+00
-1.304799999999999960e+00,5.587655682232530729e+00
-1.310799999999999965e+00,6.013732905303483811e+00
-1.319199999999999928e+00,6.563185126903019473e+00
-1.330000000000000071e+00,7.208280218180083132e+00
-1.343199999999999950e+00,7.926560036224675976e+00
-1.358800000000000008e+00,8.700265428067799789e+00
-1.376800000000000024e+00,9.515555229869589127e+00
-1.397199999999999998e+00,1.036214804058345784e+01
-1.419999999999999929e+00,1.123169698090528712e+01
-1.445200000000000040e+00,1.211676281545450351e+01
-1.472800000000000109e+00,1.301160040469616774e+01
-1.502799999999999914e+00,1.391499388588448838e+01
-1.535199999999999898e+00,1.482919719601787811e+01
-1.570000000000000062e+00,1.575592692912474568e+01
-1.607199999999999962e+00,1.669226355551842289e+01
-1.646800000000000042e+00,1.763400976103105933e+01
-1.688800000000000079e+00,1.857867737073228298e+01
-1.733200000000000074e+00,1.952504812494105124e+01
-1.780000000000000027e+00,2.047207148770656815e+01
-1.829199999999999937e+00,2.141902434193908533e+01
-1.880800000000000027e+00,2.236603806388933435e+01
-1.934800000000000075e+00,2.331411088343783078e+01
-1.991200000000000081e+00,2.426552157599863691e+01
-2.049999999999999822e+00,2.522324329255828701e+01
-2.111200000000000188e+00,2.618830886327759799e+01
-2.174799999999999844e+00,2.715493075609252571e+01
-2.240800000000000125e+00,2.811698148499061745e+01
-2.309200000000000141e+00,2.907504913828174153e+01
-2.379999999999999893e+00,3.003566587683924638e+01
-2.453199999999999825e+00,3.100427244908734892e+01
-2.528799999999999937e+00,3.197874861332214635e+01
-2.606799999999999784e+00,3.295491629833615832e+01
-2.687199999999999811e+00,3.393143044879379744e+01
-2.770000000000000018e+00,3.491003134147057096e+01
-2.855199999999999960e+00,3.589222183680354306e+01
-2.942800000000000082e+00,3.687889449521196639e+01
-3.032799999999999940e+00,3.787122246799840752e+01
-3.125199999999999978e+00,3.886919227396406740e+01
-3.220000000000000195e+00,3.986902715496357530e+01
-3.317200000000000149e+00,4.086734686471891109e+01
-3.416799999999999837e+00,4.186582695642305652e+01
-3.518800000000000150e+00,4.286852517497373327e+01
-3.623200000000000198e+00,4.387724516229207694e+01
-3.729999999999999982e+00,4.489057923840629627e+01
-3.839199999999999946e+00,4.590861585547308010e+01
-3.950800000000000090e+00,4.693188720804715786e+01
-4.064799999999999969e+00,4.795902071954950685e+01
-4.181199999999999584e+00,4.898819328154451824e+01
-4.299999999999999822e+00,5.002097632705088870e+01
-4.421199999999999797e+00,5.106042706523826524e+01
-4.544800000000000395e+00,5.210672849546557472e+01
-4.670799999999999841e+00,5.315772015471166156e+01
-4.799199999999999910e+00,5.421234979586431280e+01
-4.929999999999999716e+00,5.527109221866864885e+01
-5.063200000000000145e+00,5.633377055651796894e+01
-5.198800000000000310e+00,5.740011245090919800e+01
-5.336800000000000210e+00,5.847159230070514013e+01
-5.477199999999999847e+00,5.955002713055919372e+01
-5.620000000000000107e+00,6.063472431617702085e+01
-5.765200000000000102e+00,6.172334490787493166e+01
-5.912799999999999834e+00,6.281389205035579693e+01
